name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Evan Turner,3600,POR,SF,GSW,183375,50937,67824,18840,125600,34888,0,=(h160-$h$184)/(b160-$b$184)
Dragan Bender,4000,PHO,PF,UTA,341515,85378,67485,16871,204500,51125,0
Richaun Holmes,5000,PHI,C,MIA,325858,65171,66742,13348,196300,39260,0
Maurice Harkless,3500,POR,SF,GSW,275310,78660,66690,19054,171000,48857,0,=(h163-$h$184)/(b163-$b$184)
Greg Monroe,3500,BOS,C,LAC,193200,55199,64400,18400,128800,36800,0
Michael Carter-Williams,3500,CHA,PG,ORL,181596,51884,63804,18229,122700,35057,0,=(h165-$h$182)/(b165-$b$182)
Mario Hezonja,6200,ORL,SF,CHA,467632,75424,63768,10285,265700,42854,0,=(h166-$h$184)/(b166-$b$184)
Aron Baynes,3600,BOS,C,LAC,180707,50196,63492,17636,122100,33916,0
Darius Miller,3500,NOP,SF,LAL,200488,57282,63312,18089,131900,37685,0,=(h168-$h$184)/(b168-$b$184)
Montrezl Harrell,4300,LAC,PF,BOS,216070,50248,62730,14588,139400,32418,0
Anthony Tolliver,3700,DET,PF,ATL,208978,56480,62422,16870,135700,36675,0
Khem Birch,4400,ORL,PF,CHA,366795,83362,62205,14137,214500,48750,0
Isaiah Taylor,3500,ATL,PG,DET,256473,73278,62127,17750,159300,45514,0,=(h172-$h$182)/(b172-$b$182)
Mike Scott,3600,WAS,PF,NYK,217131,60314,59469,16519,138300,38416,0
Jarrett Jack,3600,NYK,PG,WAS,153265,42573,58135,16148,105700,29361,0,=(h174-$h$182)/(b174-$b$182)
Jameer Nelson,4000,DET,PG,ATL,190806,47701,56994,14248,123900,30975,0,=(h175-$h$182)/(b175-$b$182)
Josh Hart,6000,LAL,SG,NOP,374448,62408,55952,9325,215200,35866,0
Shaun Livingston,3500,GSW,PG,POR,152880,43680,55119,15748,104000,29714,0,=(h177-$h$182)/(b177-$b$182)
Shabazz Napier,3700,POR,PG,GSW,238306,64407,54094,14620,146200,39513,0,=(h178-$h$182)/(b178-$b$182)
Deyonta Davis ,3600,MEM,C,OKC,239604,66556,52596,14610,146100,40583,0
Luke Kennard,3600,DET,SG,ATL,175406,48723,52394,14553,113900,31638,0
Chandler Parsons,3700,MEM,SF,OKC,132192,35727,51407,13894,91800,24810,0,=(h181-$h$184)/(b181-$b$184)
Tyler Dorsey,3700,ATL,PG,DET,395418,106870,51382,13887,223400,60378,1
Josh Huestis,3500,OKC,SF,MEM,235784,67367,50015,14290,142900,40828,0,=(h183-$h$184)/(b183-$b$184)
Royce O'Neale,4300,UTA,SF,PHO,448920,104400,49880,11600,249400,58000,1
Frank Ntilikina,3600,NYK,PG,WAS,299796,83276,48804,13556,174300,48416,0
David Nwaba,3500,CHI,SF,TOR,158814,45375,48785,13938,103800,29657,0
Trevor Booker,3500,PHI,PF,MIA,187143,53469,48257,13787,117700,33628,0
Marco Belinelli,3800,PHI,SG,MIA,126875,33388,48125,12664,87500,23026,0
Daniel Theis,3800,BOS,PF,LAC,184281,48495,47519,12505,115900,30500,0
Jodie Meeks,3500,WAS,SG,NYK,215168,61476,47232,13494,131200,37485,0
Miles Plumlee,3500,ATL,C,DET,145413,41546,47187,13482,96300,27514,0
Andrew White,3500,ATL,SF,DET,118943,33984,46256,13216,82600,23600,0
Al Jefferson,3500,IND,C,BKN,133050,38014,44349,12671,88699,25342,0
Marreese Speights,3800,ORL,C,CHA,200244,52695,43956,11567,122100,32131,0
Ian Clark,3600,NOP,PG,LAL,242250,67291,42750,11875,142500,39583,0
Cheick Diallo,3800,NOP,PF,LAL,259031,68166,42168,11096,150600,39631,0
Emeka Okafor,3600,NOP,C,LAL,140756,39098,42044,11678,91400,25388,0
James Ennis,3500,DET,SF,ATL,123300,35228,41100,11742,82200,23485,0
Dante Cunningham,3500,BKN,SF,IND,121649,34757,40550,11585,81100,23171,0
Raulzinho Neto,3500,UTA,PG,PHO,248024,70864,40376,11536,144200,41200,0
Ben McLemore,3500,MEM,SG,OKC,203072,58020,40128,11465,121600,34742,0
Treveon Graham,3500,CHA,SG,ORL,134230,38351,38970,11134,86600,24742,0
Ian Mahinmi,3500,WAS,C,NYK,177284,50652,38916,11118,108100,30885,0
Wesley Johnson,3700,LAC,SF,BOS,124236,33577,38164,10314,81199,21945,0
Alex Abrines,4500,OKC,SG,MEM,252822,56182,37778,8395,145300,32288,0
Patrick Patterson,3900,OKC,PF,MEM,147959,37938,35841,9190,91900,23564,0
Alec Burks,3500,UTA,SG,PHO,174632,49894,35768,10219,105200,30057,0
Langston Galloway,3500,DET,PG,ATL,151794,43369,35606,10173,93699,26771,0
Josh Gray,3700,PHO,PG,UTA,156154,42203,35446,9580,95800,25891,0
Lance Thomas,3500,NYK,SF,WAS,116578,33308,34822,9949,75700,21628,0
Vince Carter,3700,SAC,SF,HOU,251504,67974,34296,9269,142900,38621,0
Zach Collins,3500,POR,C,GSW,155800,44514,34200,9771,95000,27142,0
Wesley Iwundu,3500,ORL,SF,CHA,188020,53720,33180,9480,110600,31600,0
Jahlil Okafor,3500,BKN,C,IND,198832,56809,32368,9248,115600,33028,0
Jonas Jerebko,3500,UTA,PF,PHO,136728,39065,32072,9163,84400,24114,0
Pat Connaughton,3500,POR,SG,GSW,125280,35794,31320,8948,78300,22371,0
Joseph Young,3700,IND,PG,BKN,278640,75308,30960,8367,154800,41837,0
Troy Daniels,3500,PHO,SG,UTA,147127,42036,29073,8306,88100,25171,0
DeAndre Bembry,3500,ATL,SF,DET,207680,59337,28320,8091,118000,33714,0
Nick Young,3700,GSW,SG,POR,180093,48673,28107,7596,104100,28135,0
Kevon Looney,3700,GSW,PF,POR,150822,40762,25578,6912,88200,23837,0
Isaiah Hicks,3500,NYK,PF,WAS,33350,9528,24650,7042,29000,8285,0
Paul Zipser,3500,CHI,SF,TOR,114576,32736,21824,6235,68200,19485,0
Arron Afflalo,3500,ORL,SG,CHA,177659,50759,19740,5639,98699,28200,0
JaVale McGee,3600,GSW,C,POR,92730,25758,19670,5463,56200,15611,0
Corey Brewer,3500,LAL,SF,NOP,173880,49680,19320,5520,96600,27599,0
Luke Kornet,3600,NYK,PF,WAS,159660,44349,17740,4927,88699,24638,0
Semi Ojeleye,3500,BOS,SF,LAC,131688,37625,17112,4889,74400,21257,0
Timothe Luwawu-Cabarrot,3600,PHI,SG,MIA,58080,16133,14520,4033,36300,10083,0
Jared Dudley,3500,PHO,PF,UTA,122400,34971,13600,3885,68000,19428,0
Tarik Black,3500,HOU,PF,SAC,121320,34662,13480,3851,67400,19257,0
Omri Casspi,3900,GSW,SF,POR,67872,17403,12928,3314,40400,10359,0
Tyler Ulis,3600,PHO,PG,UTA,41463,11517,12737,3538,27100,7527,0
JaKarr Sampson,3600,SAC,SF,HOU,92576,25715,12624,3506,52600,14611,0
Norman Powell,3500,TOR,SG,CHI,53440,15268,10560,3017,32000,9142,0
Sam Dekker,3500,LAC,SF,BOS,45870,13105,9730,2780,27799,7942,0
Trey Burke,3500,NYK,PG,WAS,52051,14872,9548,2728,30800,8800,0
Eric Moreland,3500,DET,PF,ATL,69344,19812,9456,2701,39400,11257,0
James Webb,3500,BKN,SF,IND,47128,13465,7672,2192,27400,7828,0
DeAndre Liggins,3500,NOP,SG,LAL,42840,12240,7560,2160,25200,7200,0
Joe Johnson,3600,HOU,SF,SAC,123690,34358,6510,1808,65100,18083,0
Nik Stauskas,3500,BKN,SG,IND,58140,16611,6460,1845,32300,9228,0
Damyean Dotson,3500,NYK,SG,WAS,34920,9977,3880,1108,19400,5542,0
