Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
C,Anze Kopitar (13627929),Anze Kopitar,13627929,C/UTIL,6000,LA@STL 10/24/2019 08:00PM ET,LA,14.03,0
RW,Alexander Radulov (13627926),Alexander Radulov,13627926,W/UTIL,6000,ANH@DAL 10/24/2019 08:30PM ET,DAL,6.94,0
D,Drew Doughty (13627971),Drew Doughty,13627971,D/UTIL,5900,LA@STL 10/24/2019 08:00PM ET,LA,13.68,0
D,Ryan Ellis (13627993),Ryan Ellis,13627993,D/UTIL,5800,MIN@NSH 10/24/2019 08:00PM ET,NSH,13.53,0
C,Ryan O'Reilly (13628004),Ryan O'Reilly,13628004,C/UTIL,5700,LA@STL 10/24/2019 08:00PM ET,STL,7.19,0
LW,Jamie Benn (13627977),Jamie Benn,13627977,W/UTIL,5700,ANH@DAL 10/24/2019 08:30PM ET,DAL,7.24,0
LW,Rickard Rakell (13628090),Rickard Rakell,13628090,W/UTIL,5700,ANH@DAL 10/24/2019 08:30PM ET,ANH,10.61,0
LW,James van Riemsdyk (13627957),James van Riemsdyk,13627957,W/UTIL,5600,PHI@CHI 10/24/2019 08:30PM ET,PHI,9.16,0
LW,Oskar Lindblom (13628251),Oskar Lindblom,13628251,W/UTIL,5500,PHI@CHI 10/24/2019 08:30PM ET,PHI,10.54,0
C,Jonathan Toews (13627941),Jonathan Toews,13627941,C/UTIL,5300,PHI@CHI 10/24/2019 08:30PM ET,CHI,6.31,0
LW,Brandon Saad (13628099),Brandon Saad,13628099,W/UTIL,5300,PHI@CHI 10/24/2019 08:30PM ET,CHI,10.27,0
RW,Jakub Voracek (13627961),Jakub Voracek,13627961,W/UTIL,5200,PHI@CHI 10/24/2019 08:30PM ET,PHI,8.91,0
D,Ivan Provorov (13628267),Ivan Provorov,13628267,D/UTIL,5200,PHI@CHI 10/24/2019 08:30PM ET,PHI,9.06,0
C,Ryan Johansen (13628029),Ryan Johansen,13628029,C/UTIL,5100,MIN@NSH 10/24/2019 08:00PM ET,NSH,6.81,0
