Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40590-70579,D,Michal,Michal Kempny,Kempny,12.36923100398137,13,4000,WSH@BOS,WSH,BOS,,,,,
40590-8211,D,Tyler,Tyler Myers,Myers,6.8,20,3900,COL@VAN,VAN,COL,,,,,
40590-59413,W,Jake,Jake Virtanen,Virtanen,8.95999984741211,20,3900,COL@VAN,VAN,COL,,,,,
40590-66606,D,Brandon,Brandon Carlo,Carlo,6.7368421052631575,19,3900,WSH@BOS,BOS,WSH,,,,,
40590-83096,W,Dominik,Dominik Kahun,Kahun,6.8000000847710504,18,3900,TOR@PIT,PIT,TOR,,,,,
40590-82075,D,Will,Will Butcher,Butcher,6.800000190734863,16,3900,NJ@MON,NJ,MON,,,,,
40590-58881,W,Sammy,Sammy Blais,Blais,7.511110941569011,18,3900,ANH@STL,STL,ANH,,,,,
40590-9033,C,Casey,Casey Cizikas,Cizikas,9.59999974568685,12,3900,NYI@PHI,NYI,PHI,,,,,
40590-70483,W,Artturi,Artturi Lehkonen,Lehkonen,7.4947365208675985,19,3900,NJ@MON,MON,NJ,,,,,
40590-66515,D,Vince,Vince Dunn,Dunn,6.419999694824218,20,3900,ANH@STL,STL,ANH,,,,,
40590-8186,D,Zdeno,Zdeno Chara,Chara,10.105263157894736,19,3900,WSH@BOS,BOS,WSH,,,,,
40590-8267,D,Brent,Brent Seabrook,Seabrook,5.881249904632568,16,3800,CHI@NSH,CHI,NSH,,,,,
40590-8336,C,Valtteri,Valtteri Filppula,Filppula,5.814285641624814,21,3800,DET@SJ,DET,SJ,,,,,
40590-13472,D,Dmitry,Dmitry Orlov,Orlov,7.323809669131324,21,3800,WSH@BOS,WSH,BOS,,,,,
40590-70908,W,Tyson,Tyson Jost,Jost,7.94210494192023,19,3800,COL@VAN,COL,VAN,O,Upper body,,,
40590-62723,W,Ondrej,Ondrej Kase,Kase,7.83999989827474,15,3800,ANH@STL,ANH,STL,,,,,
40590-8490,D,Andy,Andy Greene,Greene,6.971428462437221,14,3800,NJ@MON,NJ,MON,,,,,
40590-39234,W,Matt,Matt Nieto,Nieto,7.515789634303043,19,3800,COL@VAN,COL,VAN,,,,,
40590-39235,C,Chris,Chris Tierney,Tierney,7.7526317395662,19,3800,OTT@BUF,OTT,BUF,,,,,
40590-13742,D,Ben,Ben Chiarot,Chiarot,8.715789794921875,19,3800,NJ@MON,MON,NJ,,,,,
40590-8647,D,Erik,Erik Johnson,Johnson,7.62105279219778,19,3800,COL@VAN,COL,VAN,,,,,
40590-8726,D,Mike,Mike Green,Green,8.277777777777779,18,3800,DET@SJ,DET,SJ,,,,,
40590-9040,D,Calvin,Calvin de Haan,de Haan,8.050000190734863,16,3800,CHI@NSH,CHI,NSH,,,,,
40590-9077,C,Kyle,Kyle Turris,Turris,7.433333502875434,18,3800,CHI@NSH,NSH,CHI,,,,,
40590-59271,D,Travis,Travis Sanheim,Sanheim,6.442105343467311,19,3800,NYI@PHI,PHI,NYI,,,,,
40590-82850,C,Casey,Casey Mittelstadt,Mittelstadt,5.6999999152289496,18,3800,OTT@BUF,BUF,OTT,,,,,
40590-8138,W,Bobby,Bobby Ryan,Ryan,4.746666463216146,15,3800,OTT@BUF,OTT,BUF,,,,,
40590-42994,D,Nikita,Nikita Zadorov,Zadorov,6.346666463216146,15,3800,COL@VAN,COL,VAN,,,,,
40590-81983,W,Robert,Robert Thomas,Thomas,5.279999796549479,15,3700,ANH@STL,STL,ANH,,,,,
40590-61549,W,Frank,Frank Vatrano,Vatrano,10.910526476408306,19,3700,NYR@FLA,FLA,NYR,,,,,
40590-66674,W,Dominik,Dominik Simon,Simon,8.615789313065378,19,3700,TOR@PIT,PIT,TOR,,,,,
40590-54481,D,Jake,Jake McCabe,McCabe,7.511110941569011,18,3700,OTT@BUF,BUF,OTT,,,,,
40590-70915,D,Dante,Dante Fabbro,Fabbro,7.288888719346788,18,3700,CHI@NSH,NSH,CHI,,,,,
40590-70918,D,Dennis,Dennis Cholowski,Cholowski,7.399999830457899,18,3700,DET@SJ,DET,SJ,,,,,
40590-8517,W,Brian,Brian Boyle,Boyle,10.254545731977982,11,3700,NYR@FLA,FLA,NYR,,,,,
40590-39249,C,Nick,Nick Bjugstad,Bjugstad,4.720000076293945,10,3700,TOR@PIT,PIT,TOR,O,Lower body,,,
40590-39261,D,Scott,Scott Mayfield,Mayfield,8.023529052734375,17,3700,NYI@PHI,NYI,PHI,,,,,
40590-8614,C,Joe,Joe Thornton,Thornton,4.7450000762939455,20,3700,DET@SJ,SJ,DET,,,,,
40590-21936,D,Dylan,Dylan DeMelo,DeMelo,4.715789393374794,19,3700,OTT@BUF,OTT,BUF,,,,,
40590-65970,W,Pavel,Pavel Zacha,Zacha,7.247058644014246,17,3700,NJ@MON,NJ,MON,,,,,
40590-8628,D,Marc-Edouard,Marc-Edouard Vlasic,Vlasic,5.8599998474121096,20,3700,DET@SJ,SJ,DET,,,,,
40590-103940,D,Adam,Adam Fox,Fox,8.858823888442096,17,3700,NYR@FLA,NYR,FLA,,,,,
40590-70169,D,Troy,Troy Stecher,Stecher,5.920000076293945,20,3700,COL@VAN,VAN,COL,,,,,
40590-8746,W,Matt,Matt Calvert,Calvert,9.452631900185033,19,3700,COL@VAN,COL,VAN,,,,,
40590-66407,D,Philippe,Philippe Myers,Myers,9.300000190734863,8,3700,NYI@PHI,PHI,NYI,,,,,
40590-42862,D,Olli,Olli Maatta,Maatta,5.622222052680121,18,3700,CHI@NSH,CHI,NSH,,,,,
